-1.90964,-0.08602
-1.81327,-0.09826
-1.70835,-0.10585
-1.61192,-0.11191
-1.50902,-0.12624
-1.39983,-0.13162
-1.31323,-0.14315
-1.20972,-0.15406
-1.11072,-0.16496
-0.99598,-0.1783
-0.90156,-0.1978
-0.806,-0.21545
-0.69914,-0.22941
-0.60468,-0.244
-0.50794,-0.25768
-0.39916,-0.28672
-0.30811,-0.30023
-0.20642,-0.32248
-0.09224,-0.34763
0.00051,-0.37086
0.09502,-0.397
0.19849,-0.42022
0.30372,-0.44635
0.39467,-0.47056
0.49277,-0.49476
0.59077,-0.53063
0.6939,-0.55994
0.7873,-0.58607
0.89203,-0.61528
0.98818,-0.65222
1.09288,-0.68451
1.19188,-0.7199
1.27674,-0.75068
1.3785,-0.79379
1.48035,-0.82763
1.57935,-0.86302
1.67553,-0.89687
1.7688,-0.93845
1.88194,-0.97845
1.96389,-1.01695
